Çeşit Adı	Boy (cm)	Çap (cm)	Ağırlık (gr)
Malta Eriği	3.9	3.9	16.5
Malta Eriği	6.5	6.5	16.2
Malta Eriği	3.7	3.7	18.1
Malta Eriği	3.9	3.9	18.9
Malta Eriği	5.7	5.7	16.5
Malta Eriği	5.8	5.8	15.6
Malta Eriği	6.3	6.3	15.9
Malta Eriği	3.3	3.3	19.2
Malta Eriği	3.8	3.8	15.3
Malta Eriği	4.5	4.5	14.3
Malta Eriği	3.9	3.9	19.0
Malta Eriği	4.8	4.8	15.3
Malta Eriği	5.8	5.8	19.3
Malta Eriği	5.7	5.7	19.4
Malta Eriği	3.4	3.4	17.2
Malta Eriği	6.1	6.1	18.5
Malta Eriği	3.7	3.7	14.3
Malta Eriği	5.1	5.1	19.2
Malta Eriği	6.5	6.5	16.6
Malta Eriği	6.2	6.2	16.6
Malta Eriği	3.6	3.6	18.3
Malta Eriği	3.0	3.0	20.0
Malta Eriği	3.5	3.5	16.2
Malta Eriği	3.5	3.5	20.1
Malta Eriği	4.9	4.9	16.9
Malta Eriği	6.3	6.3	15.5
Malta Eriği	5.9	5.9	16.7
Malta Eriği	5.1	5.1	18.3
Malta Eriği	3.1	3.1	17.8
Malta Eriği	5.0	5.0	15.0
Malta Eriği	3.6	3.6	19.3
Malta Eriği	5.7	5.7	19.5
Malta Eriği	5.0	5.0	20.3
Malta Eriği	4.7	4.7	19.4
Mürdüm Eriği	5.7	7.0	21.1
Mürdüm Eriği	5.2	9.5	17.5
Mürdüm Eriği	6.1	7.7	18.6
Mürdüm Eriği	4.0	9.7	24.2
Mürdüm Eriği	5.2	7.4	27.7
Mürdüm Eriği	5.5	7.2	25.1
Mürdüm Eriği	3.3	7.7	19.1
Mürdüm Eriği	5.4	8.7	22.0
Mürdüm Eriği	6.2	6.9	27.0
Mürdüm Eriği	3.9	7.8	19.6
Mürdüm Eriği	4.3	7.3	21.6
Mürdüm Eriği	4.8	8.8	19.2
Mürdüm Eriği	3.2	6.8	28.9
Mürdüm Eriği	4.0	7.9	25.3
Mürdüm Eriği	5.3	8.2	23.7
Mürdüm Eriği	5.5	7.4	25.4
Mürdüm Eriği	4.1	6.9	21.6
Mürdüm Eriği	3.3	8.6	25.2
Mürdüm Eriği	5.9	8.6	26.3
Mürdüm Eriği	5.9	7.9	27.4
Mürdüm Eriği	6.0	9.5	17.0
Mürdüm Eriği	5.5	7.2	22.2
Mürdüm Eriği	6.4	8.3	26.5
Mürdüm Eriği	3.1	9.1	23.4
Mürdüm Eriği	3.9	7.4	24.3
Mürdüm Eriği	4.8	7.1	24.3
Mürdüm Eriği	6.3	8.4	21.7
Mürdüm Eriği	5.8	7.2	21.1
Mürdüm Eriği	5.5	8.9	21.5
Mürdüm Eriği	6.4	8.7	28.3
Mürdüm Eriği	3.0	9.3	20.9
Mürdüm Eriği	5.4	7.9	19.8
Mürdüm Eriği	5.3	7.2	26.5
Mürdüm Eriği	4.7	7.6	25.5
Mürdüm Eriği	4.9	7.3	27.6
Mürdüm Eriği	3.5	9.7	24.5
Mürdüm Eriği	3.0	7.8	26.9
Mürdüm Eriği	5.4	8.6	27.6
Mürdüm Eriği	4.9	7.3	21.6
Mürdüm Eriği	4.5	8.3	17.8
Mürdüm Eriği	4.3	8.1	20.3
Mürdüm Eriği	4.1	9.6	18.7
Mürdüm Eriği	4.4	9.4	28.9
Mürdüm Eriği	5.7	8.9	20.6
Mürdüm Eriği	4.3	9.6	26.2
Mürdüm Eriği	4.8	9.2	19.7
Mürdüm Eriği	5.4	9.7	24.0
Mürdüm Eriği	5.9	7.9	18.7
Mürdüm Eriği	4.4	9.4	25.2
Mürdüm Eriği	3.4	8.1	20.0
Mürdüm Eriği	4.8	7.5	23.5
Mürdüm Eriği	5.5	8.6	18.6
Mürdüm Eriği	6.4	7.6	28.2
Mürdüm Eriği	3.8	6.8	16.9
Mürdüm Eriği	5.2	7.0	18.5
Mürdüm Eriği	3.6	7.8	17.4
Mürdüm Eriği	3.2	8.8	19.9
Mürdüm Eriği	5.9	7.4	22.5
Mürdüm Eriği	3.8	9.3	21.2
Mürdüm Eriği	5.8	9.3	23.0
Mürdüm Eriği	3.4	9.4	26.9
